Price Date,States,Commodity,Modal Price (Rs./Quintal)
14 Jul 2020,Delhi,Apple,3333
14 Jul 2020,Delhi,Apple,10000
13 Jul 2020,Delhi,Apple,3021
13 Jul 2020,Delhi,Apple,10000
11 Jul 2020,Delhi,Apple,3021
11 Jul 2020,Delhi,Apple,10000
10 Jul 2020,Delhi,Apple,3021
10 Jul 2020,Delhi,Apple,10000
09 Jul 2020,Delhi,Apple,3021
09 Jul 2020,Delhi,Apple,10000
08 Jul 2020,Delhi,Apple,3021
08 Jul 2020,Delhi,Apple,10000
07 Jul 2020,Delhi,Apple,3021
07 Jul 2020,Delhi,Apple,10000
06 Jul 2020,Delhi,Apple,3021
06 Jul 2020,Delhi,Apple,10000
04 Jul 2020,Delhi,Apple,3021
04 Jul 2020,Delhi,Apple,10000
03 Jul 2020,Delhi,Apple,3021
03 Jul 2020,Delhi,Apple,7875
02 Jul 2020,Delhi,Apple,3021
02 Jul 2020,Delhi,Apple,7875
01 Jul 2020,Delhi,Apple,3021
01 Jul 2020,Delhi,Apple,7625
30 Jun 2020,Delhi,Apple,2063
30 Jun 2020,Delhi,Apple,10000
29 Jun 2020,Delhi,Apple,2063
29 Jun 2020,Delhi,Apple,9000
27 Jun 2020,Delhi,Apple,2063
27 Jun 2020,Delhi,Apple,9000
26 Jun 2020,Delhi,Apple,2063
26 Jun 2020,Delhi,Apple,9000
25 Jun 2020,Delhi,Apple,2063
25 Jun 2020,Delhi,Apple,9000
24 Jun 2020,Delhi,Apple,2063
24 Jun 2020,Delhi,Apple,9000
23 Jun 2020,Delhi,Apple,2063
23 Jun 2020,Delhi,Apple,8500
22 Jun 2020,Delhi,Apple,2115
22 Jun 2020,Delhi,Apple,11500
20 Jun 2020,Delhi,Apple,2115
20 Jun 2020,Delhi,Apple,8500
19 Jun 2020,Delhi,Apple,2115
19 Jun 2020,Delhi,Apple,8500
18 Jun 2020,Delhi,Apple,2115
18 Jun 2020,Delhi,Apple,8500
17 Jun 2020,Delhi,Apple,2115
17 Jun 2020,Delhi,Apple,8500
16 Jun 2020,Delhi,Apple,2115
16 Jun 2020,Delhi,Apple,8500
15 Jun 2020,Delhi,Apple,2115
15 Jun 2020,Delhi,Apple,8500
13 Jun 2020,Delhi,Apple,2115
13 Jun 2020,Delhi,Apple,8250
12 Jun 2020,Delhi,Apple,2115
12 Jun 2020,Delhi,Apple,8250
11 Jun 2020,Delhi,Apple,2115
11 Jun 2020,Delhi,Apple,8250
10 Jun 2020,Delhi,Apple,2115
10 Jun 2020,Delhi,Apple,8680
09 Jun 2020,Delhi,Apple,2115
09 Jun 2020,Delhi,Apple,8680
08 Jun 2020,Delhi,Apple,2219
08 Jun 2020,Delhi,Apple,8680
06 Jun 2020,Delhi,Apple,2219
06 Jun 2020,Delhi,Apple,8680
05 Jun 2020,Delhi,Apple,2219
05 Jun 2020,Delhi,Apple,4120
05 Jun 2020,Delhi,Apple,8680
04 Jun 2020,Delhi,Apple,2219
04 Jun 2020,Delhi,Apple,4120
04 Jun 2020,Delhi,Apple,8680
03 Jun 2020,Delhi,Apple,2167
03 Jun 2020,Delhi,Apple,4120
03 Jun 2020,Delhi,Apple,8680
02 Jun 2020,Delhi,Apple,2167
02 Jun 2020,Delhi,Apple,4120
02 Jun 2020,Delhi,Apple,8680
01 Jun 2020,Delhi,Apple,2167
01 Jun 2020,Delhi,Apple,4360
01 Jun 2020,Delhi,Apple,8680
30 May 2020,Delhi,Apple,4360
30 May 2020,Delhi,Apple,8680
29 May 2020,Delhi,Apple,4360
29 May 2020,Delhi,Apple,8680
28 May 2020,Delhi,Apple,4640
28 May 2020,Delhi,Apple,8680
27 May 2020,Delhi,Apple,4640
27 May 2020,Delhi,Apple,8680
26 May 2020,Delhi,Apple,4640
26 May 2020,Delhi,Apple,8680
25 May 2020,Delhi,Apple,4720
25 May 2020,Delhi,Apple,8680
23 May 2020,Delhi,Apple,4720
23 May 2020,Delhi,Apple,8680
22 May 2020,Delhi,Apple,4720
22 May 2020,Delhi,Apple,8680
21 May 2020,Delhi,Apple,4720
21 May 2020,Delhi,Apple,8680
20 May 2020,Delhi,Apple,4920
20 May 2020,Delhi,Apple,8680
19 May 2020,Delhi,Apple,4920
19 May 2020,Delhi,Apple,8680
18 May 2020,Delhi,Apple,4920
18 May 2020,Delhi,Apple,8680
16 May 2020,Delhi,Apple,4920
16 May 2020,Delhi,Apple,8680
15 May 2020,Delhi,Apple,4920
15 May 2020,Delhi,Apple,8680
14 May 2020,Delhi,Apple,5020
14 May 2020,Delhi,Apple,8760
13 May 2020,Delhi,Apple,5020
13 May 2020,Delhi,Apple,8760
12 May 2020,Delhi,Apple,5020
12 May 2020,Delhi,Apple,8760
11 May 2020,Delhi,Apple,5020
11 May 2020,Delhi,Apple,8760
09 May 2020,Delhi,Apple,5020
09 May 2020,Delhi,Apple,8760
08 May 2020,Delhi,Apple,5120
08 May 2020,Delhi,Apple,8760
07 May 2020,Delhi,Apple,5200
07 May 2020,Delhi,Apple,8760
06 May 2020,Delhi,Apple,5200
06 May 2020,Delhi,Apple,8760
05 May 2020,Delhi,Apple,5240
05 May 2020,Delhi,Apple,8760
04 May 2020,Delhi,Apple,5240
04 May 2020,Delhi,Apple,8760
02 May 2020,Delhi,Apple,5240
02 May 2020,Delhi,Apple,8840
01 May 2020,Delhi,Apple,5240
01 May 2020,Delhi,Apple,8840
30 Apr 2020,Delhi,Apple,5280
30 Apr 2020,Delhi,Apple,8840
29 Apr 2020,Delhi,Apple,5280
29 Apr 2020,Delhi,Apple,8840
28 Apr 2020,Delhi,Apple,5280
28 Apr 2020,Delhi,Apple,8300
27 Apr 2020,Delhi,Apple,5280
27 Apr 2020,Delhi,Apple,8300
25 Apr 2020,Delhi,Apple,4798
25 Apr 2020,Delhi,Apple,8500
24 Apr 2020,Delhi,Apple,4798
24 Apr 2020,Delhi,Apple,8500
23 Apr 2020,Delhi,Apple,4798
23 Apr 2020,Delhi,Apple,8500
22 Apr 2020,Delhi,Apple,4798
22 Apr 2020,Delhi,Apple,8500
21 Apr 2020,Delhi,Apple,4798
21 Apr 2020,Delhi,Apple,8500
20 Apr 2020,Delhi,Apple,4570
20 Apr 2020,Delhi,Apple,8500
18 Apr 2020,Delhi,Apple,4413
18 Apr 2020,Delhi,Apple,8400
17 Apr 2020,Delhi,Apple,4540
17 Apr 2020,Delhi,Apple,8400
16 Apr 2020,Delhi,Apple,4400
16 Apr 2020,Delhi,Apple,8080
30 Dec 2019,Delhi,Apple,3854
30 Dec 2019,Delhi,Apple,5780
28 Dec 2019,Delhi,Apple,4167
28 Dec 2019,Delhi,Apple,5780
27 Dec 2019,Delhi,Apple,4167
27 Dec 2019,Delhi,Apple,5780
26 Dec 2019,Delhi,Apple,4167
26 Dec 2019,Delhi,Apple,5780
25 Dec 2019,Delhi,Apple,4167
25 Dec 2019,Delhi,Apple,5780
24 Dec 2019,Delhi,Apple,4225
23 Dec 2019,Delhi,Apple,4167
23 Dec 2019,Delhi,Apple,5780
21 Dec 2019,Delhi,Apple,4167
21 Dec 2019,Delhi,Apple,5780
20 Dec 2019,Delhi,Apple,4167
20 Dec 2019,Delhi,Apple,5540
19 Dec 2019,Delhi,Apple,4167
19 Dec 2019,Delhi,Apple,5540
18 Dec 2019,Delhi,Apple,4063
18 Dec 2019,Delhi,Apple,5540
17 Dec 2019,Delhi,Apple,4063
17 Dec 2019,Delhi,Apple,5540
16 Dec 2019,Delhi,Apple,4063
16 Dec 2019,Delhi,Apple,5340
14 Dec 2019,Delhi,Apple,2604
14 Dec 2019,Delhi,Apple,5340
13 Dec 2019,Delhi,Apple,5140
12 Dec 2019,Delhi,Apple,5140
11 Dec 2019,Delhi,Apple,5140
10 Dec 2019,Delhi,Apple,4015
09 Dec 2019,Delhi,Apple,3750
09 Dec 2019,Delhi,Apple,5140
07 Dec 2019,Delhi,Apple,3750
07 Dec 2019,Delhi,Apple,5140
06 Dec 2019,Delhi,Apple,5140
05 Dec 2019,Delhi,Apple,3750
05 Dec 2019,Delhi,Apple,5140
04 Dec 2019,Delhi,Apple,5140
03 Dec 2019,Delhi,Apple,5140
02 Dec 2019,Delhi,Apple,5140
30 Nov 2019,Delhi,Apple,3140
30 Nov 2019,Delhi,Apple,3640
30 Nov 2019,Delhi,Apple,5140
29 Nov 2019,Delhi,Apple,3140
29 Nov 2019,Delhi,Apple,5140
29 Nov 2019,Delhi,Apple,5140
28 Nov 2019,Delhi,Apple,3140
28 Nov 2019,Delhi,Apple,4240
28 Nov 2019,Delhi,Apple,5140
27 Nov 2019,Delhi,Apple,3438
27 Nov 2019,Delhi,Apple,3140
27 Nov 2019,Delhi,Apple,4240
27 Nov 2019,Delhi,Apple,5140
26 Nov 2019,Delhi,Apple,3438
26 Nov 2019,Delhi,Apple,3140
26 Nov 2019,Delhi,Apple,4240
26 Nov 2019,Delhi,Apple,5100
25 Nov 2019,Delhi,Apple,3438
25 Nov 2019,Delhi,Apple,3140
25 Nov 2019,Delhi,Apple,4240
25 Nov 2019,Delhi,Apple,5100
23 Nov 2019,Delhi,Apple,3750
23 Nov 2019,Delhi,Apple,3140
23 Nov 2019,Delhi,Apple,4240
23 Nov 2019,Delhi,Apple,5100
22 Nov 2019,Delhi,Apple,3854
22 Nov 2019,Delhi,Apple,3140
22 Nov 2019,Delhi,Apple,4055
22 Nov 2019,Delhi,Apple,5100
21 Nov 2019,Delhi,Apple,3854
21 Nov 2019,Delhi,Apple,3140
21 Nov 2019,Delhi,Apple,4055
21 Nov 2019,Delhi,Apple,5100
20 Nov 2019,Delhi,Apple,3854
20 Nov 2019,Delhi,Apple,3140
20 Nov 2019,Delhi,Apple,4055
20 Nov 2019,Delhi,Apple,5100
19 Nov 2019,Delhi,Apple,3854
19 Nov 2019,Delhi,Apple,3140
19 Nov 2019,Delhi,Apple,4055
19 Nov 2019,Delhi,Apple,5100
18 Nov 2019,Delhi,Apple,3958
18 Nov 2019,Delhi,Apple,3180
18 Nov 2019,Delhi,Apple,3998
18 Nov 2019,Delhi,Apple,5100
16 Nov 2019,Delhi,Apple,3958
16 Nov 2019,Delhi,Apple,3180
16 Nov 2019,Delhi,Apple,3998
16 Nov 2019,Delhi,Apple,5100
15 Nov 2019,Delhi,Apple,4375
15 Nov 2019,Delhi,Apple,3180
15 Nov 2019,Delhi,Apple,4084
15 Nov 2019,Delhi,Apple,5100
14 Nov 2019,Delhi,Apple,4375
14 Nov 2019,Delhi,Apple,3180
14 Nov 2019,Delhi,Apple,4084
14 Nov 2019,Delhi,Apple,5060
13 Nov 2019,Delhi,Apple,4375
13 Nov 2019,Delhi,Apple,3180
13 Nov 2019,Delhi,Apple,4084
13 Nov 2019,Delhi,Apple,5060
12 Nov 2019,Delhi,Apple,4063
12 Nov 2019,Delhi,Apple,3180
12 Nov 2019,Delhi,Apple,3911
12 Nov 2019,Delhi,Apple,4960
11 Nov 2019,Delhi,Apple,3958
11 Nov 2019,Delhi,Apple,3180
11 Nov 2019,Delhi,Apple,3911
11 Nov 2019,Delhi,Apple,4960
09 Nov 2019,Delhi,Apple,3958
09 Nov 2019,Delhi,Apple,3180
09 Nov 2019,Delhi,Apple,3854
09 Nov 2019,Delhi,Apple,4880
08 Nov 2019,Delhi,Apple,3958
08 Nov 2019,Delhi,Apple,3180
08 Nov 2019,Delhi,Apple,3854
08 Nov 2019,Delhi,Apple,4880
07 Nov 2019,Delhi,Apple,3180
07 Nov 2019,Delhi,Apple,3854
07 Nov 2019,Delhi,Apple,8500
06 Nov 2019,Delhi,Apple,4479
06 Nov 2019,Delhi,Apple,3180
06 Nov 2019,Delhi,Apple,3854
06 Nov 2019,Delhi,Apple,4880
05 Nov 2019,Delhi,Apple,4063
05 Nov 2019,Delhi,Apple,3380
05 Nov 2019,Delhi,Apple,3882
05 Nov 2019,Delhi,Apple,4720
04 Nov 2019,Delhi,Apple,4925
04 Nov 2019,Delhi,Apple,3882
04 Nov 2019,Delhi,Apple,8100
02 Nov 2019,Delhi,Apple,3380
02 Nov 2019,Delhi,Apple,3882
02 Nov 2019,Delhi,Apple,8700
01 Nov 2019,Delhi,Apple,3438
01 Nov 2019,Delhi,Apple,3380
01 Nov 2019,Delhi,Apple,3882
01 Nov 2019,Delhi,Apple,4720
31 Oct 2019,Delhi,Apple,3680
31 Oct 2019,Delhi,Apple,4025
31 Oct 2019,Delhi,Apple,4720
30 Oct 2019,Delhi,Apple,3840
30 Oct 2019,Delhi,Apple,4025
30 Oct 2019,Delhi,Apple,4940
29 Oct 2019,Delhi,Apple,3840
29 Oct 2019,Delhi,Apple,4025
29 Oct 2019,Delhi,Apple,4940
26 Oct 2019,Delhi,Apple,3920
26 Oct 2019,Delhi,Apple,4204
26 Oct 2019,Delhi,Apple,4940
25 Oct 2019,Delhi,Apple,5500
25 Oct 2019,Delhi,Apple,4448
25 Oct 2019,Delhi,Apple,8750
24 Oct 2019,Delhi,Apple,4120
24 Oct 2019,Delhi,Apple,4448
24 Oct 2019,Delhi,Apple,5540
23 Oct 2019,Delhi,Apple,4120
23 Oct 2019,Delhi,Apple,4448
23 Oct 2019,Delhi,Apple,5540
22 Oct 2019,Delhi,Apple,4120
22 Oct 2019,Delhi,Apple,4448
22 Oct 2019,Delhi,Apple,5620
21 Oct 2019,Delhi,Apple,4120
21 Oct 2019,Delhi,Apple,4241
21 Oct 2019,Delhi,Apple,5080
19 Oct 2019,Delhi,Apple,4120
19 Oct 2019,Delhi,Apple,4241
19 Oct 2019,Delhi,Apple,5080
18 Oct 2019,Delhi,Apple,4120
18 Oct 2019,Delhi,Apple,4241
18 Oct 2019,Delhi,Apple,5040
17 Oct 2019,Delhi,Apple,4120
17 Oct 2019,Delhi,Apple,4241
17 Oct 2019,Delhi,Apple,5200
16 Oct 2019,Delhi,Apple,4120
16 Oct 2019,Delhi,Apple,4270
16 Oct 2019,Delhi,Apple,5180
15 Oct 2019,Delhi,Apple,4120
15 Oct 2019,Delhi,Apple,4270
15 Oct 2019,Delhi,Apple,5180
14 Oct 2019,Delhi,Apple,4120
14 Oct 2019,Delhi,Apple,4270
14 Oct 2019,Delhi,Apple,5180
12 Oct 2019,Delhi,Apple,4200
12 Oct 2019,Delhi,Apple,4241
12 Oct 2019,Delhi,Apple,5400
11 Oct 2019,Delhi,Apple,4000
11 Oct 2019,Delhi,Apple,4241
11 Oct 2019,Delhi,Apple,5280
10 Oct 2019,Delhi,Apple,4000
10 Oct 2019,Delhi,Apple,4313
10 Oct 2019,Delhi,Apple,5280
09 Oct 2019,Delhi,Apple,4000
09 Oct 2019,Delhi,Apple,4313
09 Oct 2019,Delhi,Apple,5100
08 Oct 2019,Delhi,Apple,4000
08 Oct 2019,Delhi,Apple,4313
08 Oct 2019,Delhi,Apple,5100
07 Oct 2019,Delhi,Apple,4000
07 Oct 2019,Delhi,Apple,4313
07 Oct 2019,Delhi,Apple,7450
05 Oct 2019,Delhi,Apple,4000
05 Oct 2019,Delhi,Apple,4455
04 Oct 2019,Delhi,Apple,4000
04 Oct 2019,Delhi,Apple,7050
03 Oct 2019,Delhi,Apple,4000
03 Oct 2019,Delhi,Apple,7450
01 Oct 2019,Delhi,Apple,3520
01 Oct 2019,Delhi,Apple,4541
01 Oct 2019,Delhi,Apple,5300
30 Sep 2019,Delhi,Apple,3542
30 Sep 2019,Delhi,Apple,3520
30 Sep 2019,Delhi,Apple,4586
30 Sep 2019,Delhi,Apple,3800
